user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
agntsmith007,,TweetDeck,,12/14/2020 13:34,TRUE,59,@India_Progress Kinda wrong. World runs on Amazon web services and Microsoft azure services. The outage of AWS some… https://t.co/Xv4NcFGtzG,1,FALSE
shyamsu12147458,,Twitter Web App,,12/14/2020 13:28,FALSE,9,"@JeffBezos  I'm from india sir your https://t.co/Z6buDtrqg2 taken my money 11000
i returned a Mobil phone and now t… https://t.co/OP7tn46CK7",0,FALSE
globallifechurc,St.thomas,Twitter Web App,,12/14/2020 13:23,TRUE,3250,"Before making your goals for the year 2021  read My book ""Sweet Aroma of Success"" now for [$0.00] on #prime… https://t.co/IJhzlhwchS",0,FALSE
CNBCTV18News,,Twitter Media Studio,,12/14/2020 13:23,TRUE,202,"*Ola to set up world's largest e-scooter factory in Tamil Nadu

*Sonu Sood partners with India’s leading rural fint… https://t.co/EIsKO9D3VF",0,FALSE
chandramani1991,,Twitter for Android,,12/14/2020 13:22,FALSE,492,"@amazonIN 
Is allowed to sell made in Chinese mobile in India on Amazon?

@PMOIndia 
@HMOIndia https://t.co/AuA79NWTsq",0,FALSE
Pranjal28130600,,Twitter for Android,,12/14/2020 13:20,TRUE,206,@_pakiistan @TheWolfpackIN We have Iphone manufacturing plants in India😂 While some people were crying for having A… https://t.co/25nHbuPhSJ,0,FALSE
Jugad_India,"Hyderabad, India",,,12/14/2020 13:14,FALSE,3,"Deal Price: ₹ 7,255.00
Discount: ₹ 5,840.00 (45%)https://t.co/orvCSrdD20",0,FALSE
Garmin_India,India ,Twitter for Android,,12/14/2020 13:11,TRUE,27,"Say yes to new goals with Vivoactive 3 Element, a GPS smartwatch that monitors key aspects of your fitness.

Now av… https://t.co/jnoPfpWfqK",0,FALSE
BOLDCLUSTER1,,Twitter for Android,,12/14/2020 13:06,FALSE,34,Google is back online #googledown #Trending #YouTubers #Android #gmail #retweet #Animation #Microsoft365 #Microsoft… https://t.co/Y6RLNVvXBt,1,FALSE
Jugad_India,"Hyderabad, India",,,12/14/2020 13:05,FALSE,3,"Deal Price: ₹ 990.00
Discount: ₹ 1,200.00 (55%)https://t.co/OYFOXYLOnu",0,FALSE
AndrewHarding4,London UK,Hootsuite Inc.,,12/14/2020 13:01,FALSE,15946,"1) To all in the UK; the USA; India, Brazil and Canada reading ~ HWSNBN ~ FREE Hybrid Series Spin-off on Amazon, Ap… https://t.co/hM9ZsE6DPT",1,FALSE
Scrip1k,,Twitter Web App,,12/14/2020 13:00,FALSE,278,"@Ryzxr2 huntsman mini from amazon ,elite hubs or ubuy but i think customs is very expensive in ubuy and elite hibs… https://t.co/ebUiT9TLxT",0,FALSE
Jugad_India,"Hyderabad, India",,,12/14/2020 12:56,FALSE,3,"Deal Price: ₹ 759.00
Discount: ₹ 5,641.00 (88%)https://t.co/9aWqrGTK27",0,FALSE
RDCBob1,,Twitter for Android,,12/14/2020 12:55,TRUE,801,@tejaschogale @Scimitar_SS @AmazonHelp @OfficeOfRSP @nsitharaman @nsitharamanoffc @FinMinIndia @ascionline @UIDAI… https://t.co/d7Zhj6GwXF,1,FALSE
georgysthomas,"Bangalore, India",Twitter for iPhone,,12/14/2020 12:55,FALSE,270,"Amazon primed for India cricket rights push via @FT
 https://t.co/ti9DPoZTq3",0,FALSE
Amazingdeals360,India,Twitter for Android,,12/14/2020 12:55,FALSE,2,"Divine India Honey Face Wash, 200ml

₹99

https://t.co/P3QNCMZOaO",0,FALSE
7Deals24,Hyderabad,Twitter for Android,,12/14/2020 12:52,FALSE,1,"Fast back

💥 India Furnish Polyester Eyelet 8 Piece Door Curtain Set - 7 Feet, Brown@ 759

https://t.co/oViKQOIjKT",0,FALSE
vaibhava412,Goloka Vrindavan ,Twitter Web App,,12/14/2020 12:50,TRUE,147,"That doesn't mean they do not have NONG product in their ranges ( https://t.co/xYAO9tXafa )
Online search shows onl… https://t.co/kND56Utp4y",0,FALSE
AsimTweets_,scandinavia,Twitter for Android,,12/14/2020 12:50,FALSE,68,"@AttiaAleem In India it has picked up. People buying it from Amazon. Specially old people. But it is good.

Sound i… https://t.co/KgP4s1pR2b",0,FALSE
Jugad_India,"Hyderabad, India",,,12/14/2020 12:47,FALSE,3,"Deal Price: ₹ 1,699.00
Discount: ₹ 1,800.00 (51%)https://t.co/UcvUV9SbOS",0,FALSE
Jugad_India,"Hyderabad, India",,,12/14/2020 12:47,FALSE,3,"Deal Price: ₹ 319.00
Discount: ₹ 2,680.00 (89%)https://t.co/FRz11Nkohx",0,FALSE
Jugad_India,"Hyderabad, India",,,12/14/2020 12:47,FALSE,3,"Deal Price: ₹ 6,289.00
Discount: ₹ 3,611.00 (36%)https://t.co/fYKjUVbkXg",0,FALSE
HarshaAngeri,,Twitter Web App,,12/14/2020 12:45,FALSE,14,"#homeautomation market: Fundamental shift... #HVAC --&gt; #SocialMedia orientation

Follow how it is #Trending 

#tech… https://t.co/G4VL1tu3lk",0,FALSE
devil_singh__,"Maharashtra, India",Twitter for Android,,12/14/2020 12:42,FALSE,1181,Intention behind Retail Democracy Day is to provide equal opportunity not just to the big shots like Amazon/ Walmar… https://t.co/61NAmDSC92,0,FALSE
decodemai,,Twitter Web App,,12/14/2020 12:41,FALSE,0,"#homeautomation market: a Fundamental shift... #HVAC --&gt; #SocialMedia orientation

Follow how it is #Trending… https://t.co/gMgcBvzgTL",0,FALSE
soni__singh__,"Assam, India",Twitter for Android,,12/14/2020 12:40,FALSE,2059,The main idea behind observing Retail Democracy Day is to give equal opportunity not just to Amazon/ Walmart but to… https://t.co/27McjI6Ugt,0,FALSE
Devsingh__,"Maharashtra, India",Twitter for Android,,12/14/2020 12:40,FALSE,1805,"Very best in a few days and then
The key idea behind observing Retail Democracy Day is to provide equal opportunity… https://t.co/VOqWqMG7Ee",0,FALSE
KapoorManashi,"Nagpur, India",Twitter for Android,,12/14/2020 12:39,FALSE,735,"Very best in a few days and then
The key idea behind observing Retail Democracy Day is to provide equal opportunity… https://t.co/yzyHh4cwiJ",0,FALSE
Preet30648162,"Uttar Pradesh, India",Twitter for Android,,12/14/2020 12:39,FALSE,3052,The main idea behind observing Retail Democracy Day is to give equal opportunity not just to Amazon/ Walmart but to… https://t.co/Nzz17EhOS4,0,FALSE
IKrishiThakur,India,Twitter for Android,,12/14/2020 12:38,FALSE,1116,Intention behind Retail Democracy Day is to provide equal opportunity not just to the big shots like Amazon/ Walmar… https://t.co/Su2RS9n59A,0,FALSE
VikashMTripa,"उत्तर प्रदेश, भारत वर्ष ",Twitter for Android,,12/14/2020 12:38,FALSE,16104,"Observing retailer for Retail Democracy Day is to provide equal opportunity to the big shots like Walmart/Amazon
 t… https://t.co/6CbiTck2bt",0,FALSE
SwetaJha07,"Uttar Pradesh, India",Twitter for Android,,12/14/2020 12:38,FALSE,2039,Retail Democracy Day is to provide equal opportunity not just to the big shots like Amazon/ Walmart but to small bu… https://t.co/zJtz8fmNpb,0,FALSE
7Deals24,Hyderabad,Twitter Web App,,12/14/2020 12:37,FALSE,1,"WHOLESALE INDIA Supreme Bazaar Stainless Steel Towel Ring Holder (Silver) -Set of 2 Rs. 259 - Amazon

https://t.co/V6sCKQXJHB",0,FALSE
akku2507,Bangalore ,Twitter for Android,,12/14/2020 12:36,TRUE,31,"@AmazonHelp To whome will shall write.... @amazon India head or #amazon sales head, 
Today, I'll find all the impor… https://t.co/TZ5wYhWLrn",0,FALSE
ThakurReam,India,Twitter for Android,,12/14/2020 12:35,FALSE,1776,the first one to you know if I can think The key idea behind observing Retail Democracy Day is to provide equal opp… https://t.co/DUFUOZbZay,0,FALSE
Mahak74,,Twitter for Android,,12/14/2020 12:35,FALSE,1924,the very best for your schedule like this  The key idea behind observing Retail Democracy Day is to provide equal o… https://t.co/hAQJnNLMiA,0,FALSE
ambika7409,Delhi,Twitter for Android,,12/14/2020 12:35,FALSE,2653,the very important that we have a new The key idea behind observing Retail Democracy Day is to provide equal opport… https://t.co/0vG5NhZn2q,1,FALSE
Ravanfan9897,,Twitter for Android,,12/14/2020 12:33,FALSE,1765,Idea behind observing Retail Democracy Day is to provide equal opportunity not just to the big shots like Amazon/ W… https://t.co/PqtIUjQbtf,0,FALSE
tarnnum07,Hindostan ,Twitter for Android,,12/14/2020 12:32,FALSE,760,The key idea behind observing Retail Democracy Day is to provide equal opportunity not just to the big shots like A… https://t.co/SaZrtt0bmb,0,FALSE
Real_kamini,"Maharashtra, India",Twitter for Android,,12/14/2020 12:32,FALSE,625,The key idea behind observing Retail Democracy Day is to provide equal opportunity not just to the big shots like A… https://t.co/CAm9UxiE7o,0,FALSE
