user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
LotiyaPathaan,"Delhi, India",Twitter for Android,,2020-12-22 13:09:56,True,126,@flipkartsupport Just parroted replies with no substance in them. That's @Flipkart for every one!,0,False
Janice21833065,,Twitter Web App,,2020-12-22 13:09:12,False,3,"https://t.co/KzaULfNmYG

Multicolor Men &amp; Women Sling Bag

349

Multicolor Men &amp; Women Sling Bag https://t.co/R4ZVUBoNkK",0,False
getfreedeal,India,getfreedeals,,2020-12-22 13:09:11,False,64,Home and Bazaar Solid Wood Home Temple upto 83% off @ Flipkart - https://t.co/WG5B7Ssfb2 https://t.co/AyVPJf6iB5,0,False
k91135328,,Twitter for Android,,2020-12-22 13:09:01,True,539,@Flipkart This is thief company,0,False
mohankrishnak1,banglore,Twitter Web App,,2020-12-22 13:08:56,False,269,@IndiaPOCO @Flipkart Poor optimization is software poco launcher..poco X2 needs some improvements,0,False
rk5144530,"Nurpur, India",Twitter for Android,,2020-12-22 13:08:43,False,53,Defective product received by Flipkart #Flipkart #BoycottJioSIM #flipkartscam https://t.co/EYz9RCYIU0,0,False
Abhishe96890110,,Twitter for Android,,2020-12-22 13:08:27,False,8,@ASUS_ROG But asus rog india is not providing proper stock on flipkart,0,False
Amazingdeals360,India,Twitter for Android,,2020-12-22 13:08:05,False,2,"Boroplus Antiseptic + Moisturising Soap Pack Of 6 x 125g @ 191.

https://t.co/AFAbRmRvcz

.",0,False
visheshkoul7,India,Twitter for Android,,2020-12-22 13:07:30,True,444,"@thefallingsweep Since 2011, But actively started using it, only in 2017, as a customer grievance submitting medium… https://t.co/K3cmzHWVMC",1,False
Offersbox,,,,2020-12-22 13:07:03,False,4,"Boroplus Antiseptic + Moisturising Soap Pack Of 6 x 125g  At 191.

https://t.co/fHhM6G1gEc",0,False
flipkartsupport,India,SocialCS Flipkart,,2020-12-22 13:06:57,False,19,@saant4you Sorry to hear that. We understand your concern related to the Flipkart account. Request you to help us w… https://t.co/6pYtLQtyry,0,False
javascript_man,,Twitter Web App,,2020-12-22 13:06:55,False,30,"@flipkartsupport Do you think I didn't try that? @Flipkart 
I am fed up with no results. That's why I had to come here.",0,False
SunilBMevada1,,Twitter for Android,,2020-12-22 13:06:51,False,204,@flipkart  worst services from flipkart,0,False
Flipkart,India,Twitter Ads,,2020-12-22 13:06:26,False,21,Tired of finding the perfect spot in your house where the wifi is the strongest? Sit back comfortably with these ea… https://t.co/oOsiRGXDC6,3,False
AshaLama85,Kolkata / Bhubaneswar,Twitter for iPhone,,2020-12-22 13:06:17,True,1498,"@FlipkartStories @Flipkart A2) A) Walmart Foundation 
#TriviaTuesdays 
@FlipkartStories
 Join @piyushpuri12 @hellolalit @anublue30",0,False
5ujitAnand,भारत,Twitter Web App,,2020-12-22 13:06:12,False,8,@Flipkart is sending me refund of this ( Order ID: OD119105680696927000 ) after 6 months i am all set to take legal… https://t.co/czh0rzzixD,0,False
babitaislife,India,Twitter Web App,,2020-12-22 13:06:10,False,6,@Imjpmehta @Micromax__India @Flipkart Bro I got same issue then tried with different account and successfully order… https://t.co/jVAZDCL2mo,0,False
thewalterwhite0,,Twitter for Android,,2020-12-22 13:05:55,False,7,When I will be getting 500 rs EGV from you because I have got flipkart axis credit card ? @flipkartsupport,0,False
Janice21833065,,Twitter Web App,,2020-12-22 13:05:51,False,3,"https://t.co/UaaYo60iDJ

Girls Multicolor Hand-held Bag

399

Girls Multicolor Hand-held Bag https://t.co/wGoCSnDPZU",0,False
flipkartsupport,India,SocialCS Flipkart,,2020-12-22 13:05:21,False,19,"@ykarthikkr To ensure that your Flipkart account information is safe, please start a private chat with us by clicki… https://t.co/8qE63rfPQK",0,False
Modassir007,India,Twitter for iPhone,,2020-12-22 13:05:09,True,484,"What you guys are given the promotion I didn't understand
100g-280Rs &amp; 200g-278rs
100g normal price is 350rs and 20… https://t.co/gLDw2Ratul",0,False
sukeshisrivast1,,Twitter for Android,,2020-12-22 13:05:01,False,26,@Flipkart When am I supposed to get my refund?Hopeless vendor who delivered hopeless product and hasn't refunded my… https://t.co/WDSpLkzHmS,0,False
flipkartsupport,India,SocialCS Flipkart,,2020-12-22 13:04:56,False,19,@javascript_man Sorry to hear about this. We'd request you to contact Flipkart Travel desk on travelhelp@flipkart.c… https://t.co/zlCwXgmNqr,0,False
SpagHerbals,"Ameerpet, Hyderabad, TG",Twitter Web App,,2020-12-22 13:04:17,False,0,"Spag Herbals Premium Bhringraj Powder.
Bhringraj Powder is known for its effective action on hair and scalp.

for m… https://t.co/ftBGZjqlnY",0,False
iamdnik,"New Delhi , India",Twitter for Android,,2020-12-22 13:04:01,True,199,NEVER EVER BUY FROM @Flipkart #AllBogus #ShittyService https://t.co/Zw5xqfjOmP,0,False
javascript_man,,Twitter Web App,,2020-12-22 13:03:34,False,30,@Flipkart  would you make sure that I get a resolution to my problem on the promised timeline? it's been 2 months+… https://t.co/uV2MtDpcwH,0,False
FashionsPicot,,Twitter Web App,,2020-12-22 13:03:14,False,3,"This winter being a trendsetter, get the awesome and classic collection of women's cardigans. Go to our official we… https://t.co/jsNVzdebW9",0,False
